Buyer_ID,Sign_up_date
372911,9/2/04
438393,9/9/99
400486,10/11/03
337881,5/15/01
224920,11/1/02
314805,6/12/99
258067,3/17/01
311405,5/5/99
331811,10/12/04
212237,7/21/05
252024,3/16/99
357221,2/10/01
451840,12/22/02
260998,10/20/00
450585,8/13/01
102938,3/10/03
317714,7/1/99
387610,2/17/00
458888,5/16/05
105018,10/22/00
141975,1/16/04
389846,3/24/01
350429,11/24/01
160388,8/12/02
455759,4/6/05
195791,1/6/02
155249,2/6/00
109581,6/18/05
263264,3/11/05
196200,11/8/05
282545,4/12/02
278377,2/19/02
126691,7/15/03
156220,3/15/00
321045,11/6/99
206605,7/23/99
117091,1/6/00
356559,9/8/00
182965,1/31/03
281652,5/31/01
370748,10/4/03
477155,7/1/02
331380,3/28/04
475826,9/15/05
147814,12/24/05
298437,5/7/00
161338,6/28/01
148105,3/23/02
366023,7/24/02
127478,3/17/01
283015,8/11/03
433056,5/9/02
218079,5/18/03
125691,4/22/00
466637,8/29/00
435224,6/13/01
362160,9/26/05
331304,10/29/01
264847,10/1/01
101066,11/9/04
295465,7/28/01
102388,3/14/02
182542,5/17/01
469216,6/18/01
477902,4/9/03
171545,1/21/02
125825,9/2/99
461306,9/10/02
194724,7/24/01
163355,8/6/00
203315,6/16/04
131184,2/19/99
495872,6/2/99
446335,5/18/05
202494,10/9/00
334828,12/3/05
336055,3/30/99
452573,8/24/03
462628,3/22/04
338473,1/3/02
293538,6/28/01
144571,5/12/00
248205,4/17/00
346003,6/6/01
353644,1/23/01
204260,7/1/00
450682,9/23/04
106307,2/20/03
101785,6/22/04
355824,3/26/04
164630,5/27/02
498971,3/7/01
245961,12/9/03
142063,12/5/05
335210,3/26/01
191977,11/6/02
232320,2/14/00
458084,8/22/00
317866,8/6/00
496715,6/5/03
275243,11/25/03
207148,6/25/04
241644,1/7/00
199808,1/9/02
392007,2/14/01
339269,3/7/05
271172,12/4/04
237336,2/1/05
384976,5/3/99
375339,12/15/01
150953,10/26/99
377350,10/12/03
330569,3/13/04
194301,10/23/02
256073,8/15/00
364728,9/13/01
329490,6/10/05
171950,9/28/99
133371,8/12/03
203046,11/12/04
291117,12/1/02
442288,11/7/99
115584,6/4/02
123826,5/15/04
159622,3/11/00
495730,9/1/00
299555,5/2/01
141945,5/12/00
359798,10/19/05
277954,8/1/01
283661,5/21/99
269048,4/22/99
412106,8/1/03
441424,12/16/04
474372,9/13/00
215722,3/14/00
197814,6/9/01
100300,11/6/04
320270,9/30/04
288629,9/5/00
126587,2/12/02
211746,11/22/00
338079,3/20/01
336032,12/18/00
161430,6/14/02
243210,5/31/02
374632,1/8/05
162786,7/7/00
328577,10/23/03
361372,8/30/01
429992,3/1/02
489213,3/23/01
237644,3/1/00
203749,4/25/02
338187,7/12/04
220309,5/22/01
257701,7/5/03
350903,7/4/04
236270,11/1/01
107457,11/13/05
302063,9/7/01
465848,10/25/99
474037,10/4/01
242426,2/19/02
232732,10/8/02
477029,12/23/02
126679,5/18/00
354975,6/13/04
365913,6/11/02
328085,4/14/00
248820,1/7/00
361387,7/27/01
390503,2/16/99
411480,2/21/01
285272,11/28/99
493813,9/19/04
171574,11/18/04
307492,5/3/03
277466,7/20/00
274945,8/6/03
428234,3/20/99
428454,9/26/00
417308,5/11/00
130999,5/10/02
356946,7/11/99
167070,3/8/01
107474,11/11/99
406103,10/26/03
308639,5/10/99
179739,9/1/04
184996,2/18/01
176028,12/14/01
137649,11/16/01
351432,12/25/03
248422,5/15/00
207443,2/11/05
307418,6/5/03
440598,10/8/05
193491,6/12/00
272502,11/8/03
464106,6/4/02
280301,11/30/02
251092,4/27/04
198072,8/7/04
393489,2/10/00
277745,7/16/01
368026,12/26/02
478057,5/6/05
277245,8/28/04
320523,4/29/05
111293,3/10/00
292994,7/17/03
202383,2/28/02
289054,5/6/02
482781,3/5/04
432838,9/2/05
182464,5/1/03
489416,4/1/01
291718,6/14/00
202443,8/17/01
124878,5/11/01
130949,12/18/00
490868,9/10/05
116683,9/4/99
306828,12/2/05
139646,8/2/99
172501,5/16/05
495639,7/18/99
299897,3/14/03
322955,6/10/99
279685,4/2/03
112054,5/17/02
121993,12/17/99
416160,8/11/99
364534,12/4/03
386082,4/12/01
104692,12/25/02
222515,9/18/01
406012,11/10/02
406560,2/27/99
142717,7/21/01
343711,10/25/03
444699,1/22/03
485153,6/7/01
120978,2/3/04
183802,10/27/03
360418,7/12/00
333373,2/22/99
375624,6/4/02
396981,11/29/02
373128,7/11/05
253547,3/20/01
103982,10/23/01
399363,2/4/00
496105,12/23/99
433457,11/18/05
372750,5/11/03
171464,10/31/02
217114,4/17/99
478055,5/29/99
189154,1/1/04
372840,10/18/02
293354,4/22/00
443553,4/5/04
162224,10/8/04
257529,4/24/99
439052,10/22/03
294918,8/27/00
357141,9/9/02
481057,8/7/05
296094,7/2/02
454151,6/12/05
400841,10/26/04
450831,8/19/05
415039,4/26/03
115496,3/13/00
322072,12/19/00
411418,5/13/05
322482,2/4/05
276140,5/21/01
392629,2/25/03
281448,10/30/03
270488,4/13/99
204642,10/23/99
493126,10/31/00
455907,8/7/01
247024,5/28/00
217331,12/14/05
489566,5/6/03
235854,9/21/01
362729,3/4/03
368279,8/8/02
203158,1/13/03
330774,12/28/02
204351,6/12/03
127394,9/17/00
157182,11/14/99
295985,11/21/05
388720,8/17/05
168849,9/22/00
128568,12/7/00
405759,1/26/04
496676,7/19/03
127087,3/22/99
153966,6/20/05
313955,12/1/05
364283,12/26/04
428579,12/19/05
120759,4/9/03
150220,4/30/04
460001,4/1/01
257813,4/29/05
341478,2/13/05
182546,8/8/01
281300,11/30/00
352546,6/8/99
461676,1/9/05
256892,10/8/05
372754,4/2/04
150737,12/6/00
366431,12/17/04
195695,1/17/02
394070,6/18/99
140011,7/31/00
196128,1/10/99
311433,8/16/99
152666,2/3/05
480700,8/31/00
280102,4/26/99
355683,11/25/04
359161,3/29/01
482754,4/18/99
116783,9/15/99
404018,5/16/05
305651,10/23/05
306613,10/29/00
271695,9/1/03
272765,8/3/04
290380,7/24/04
387580,4/19/05
216725,6/5/05
498457,4/11/01
183322,12/9/99
498798,1/26/01
129346,3/17/03
144332,2/7/05
490284,7/16/05
281192,12/8/01
474465,10/7/05
176829,6/21/03
426852,12/29/05
400458,5/11/03
351398,12/1/00
314685,2/14/05
156907,6/12/05
305785,2/26/05
197166,12/23/02
112311,4/4/05
410322,10/7/01
103909,11/23/00
216818,8/28/04
165565,3/11/04
227075,1/25/03
412920,2/14/02
495025,9/14/04
266779,12/3/02
280812,9/29/00
215539,12/4/03
274442,6/17/02
149603,4/10/99
152209,7/17/05
425031,10/31/00
277787,6/4/00
459088,11/18/99
308679,11/21/99
143696,12/22/02
433751,8/29/00
326420,8/28/04
204005,3/30/01
162330,8/27/00
240248,10/20/01
135345,10/17/00
227645,1/23/00
328999,11/26/01
477605,6/7/99
113125,11/24/04
448707,1/9/02
152660,7/17/02
112336,8/31/02
271954,6/26/04
209912,12/18/00
249927,12/25/01
281974,9/22/02
235949,8/1/99
425324,7/7/03
237785,11/26/03
363809,1/25/02
152945,5/31/05
280791,11/22/02
162340,7/15/03
101566,10/10/03
456362,4/5/99
332197,2/12/03
156247,3/26/99
220385,10/21/05
291577,12/6/04
323950,5/5/02
390566,6/16/01
342958,10/8/04
276134,9/28/99
465390,9/2/05
253898,1/4/03
366736,7/14/01
384090,4/14/03
257214,12/4/05
156637,5/31/03
100327,9/10/02
136477,2/9/00
384501,3/8/04
308241,7/25/99
236870,7/13/99
433700,9/26/99
152854,3/8/01
380659,1/15/05
304029,10/12/05
363190,10/1/99
430110,5/2/05
291826,1/7/99
323270,7/26/00
335252,8/7/03
287368,6/15/03
440515,3/24/99
491978,11/29/99
428570,12/2/00
117893,2/27/00
283132,6/10/03
403805,7/2/99
450005,4/29/02
133676,5/19/05
234310,10/4/02
488289,5/5/01
357369,5/13/01
119093,12/19/01
116514,10/20/01
475375,11/11/03
326014,10/15/03
448490,3/10/99
310947,11/17/02
433663,10/4/01
229027,3/6/99
417761,9/29/02
207141,3/26/02
498329,8/24/00
181475,7/30/00
396453,3/3/03
338607,4/15/99
270834,2/14/04
355381,10/10/00
460145,12/26/00
288734,3/8/05
369611,1/26/04
128145,11/15/01
181015,9/25/04
337843,9/30/00
395914,10/2/04
471124,12/14/00
496761,3/6/03
253713,5/26/04
212163,11/14/03
354145,9/15/00
465052,11/30/05
317613,1/22/04
327152,6/25/01
308231,1/26/02
101663,1/10/03
405865,8/8/03
150490,6/8/03
186652,10/20/00
441286,4/2/02
493233,1/22/99
250666,11/13/01
105184,7/9/04
455405,7/3/04
116469,8/12/02
239523,10/1/02
297872,12/20/03
372160,8/18/00
321297,2/4/01
341533,6/8/05
102169,1/29/04
402877,11/2/03
360528,3/8/01
191701,2/15/02
158249,8/8/02
346052,4/24/00
475665,12/17/04
177875,10/11/01
173785,12/10/02
484861,4/6/00
235279,2/14/99
439789,11/26/03
124524,7/24/99
151498,8/15/99
390114,11/10/02
465477,1/12/99
378240,2/27/05
278353,8/7/05
241141,1/21/01
285748,10/22/04
328590,6/6/02
293999,12/16/02
239984,4/30/00
117129,5/26/04
123784,10/4/05
487174,3/21/05
377851,2/4/03
264248,6/19/04
184182,12/12/04
427173,1/31/00
285905,6/6/99
310784,12/21/02
446914,7/13/01
422108,11/13/03
283247,12/16/00
374044,3/23/99
365471,9/8/99
214371,10/5/04
138902,9/20/99
162692,10/19/02
313154,10/13/05
384530,3/27/03
408025,7/28/00
351697,6/15/02
269687,12/28/01
469651,4/13/03
236041,9/18/04
350924,8/24/00
236748,11/1/05
315298,9/3/03
336829,8/17/04
317891,9/29/00
123834,3/1/99
294525,11/24/99
113130,2/26/99
283705,1/7/04
339335,2/14/02
193158,9/9/04
181544,6/17/00
263338,9/16/03
212926,11/21/99
226403,7/26/01
261931,4/18/99
370363,12/26/04
303774,6/26/99
114051,12/9/04
322464,12/16/04
341804,10/2/02
323204,5/25/02
350037,4/7/00
332314,11/25/00
168872,10/22/01
468566,3/12/01
235097,1/1/01
486765,8/31/02
184192,1/8/05
152762,2/3/02
401074,10/30/04
483951,12/22/99
125904,3/19/05
486831,4/28/03
363207,8/13/01
451033,3/13/01
384925,2/27/04
191946,7/28/99
433234,10/29/03
424528,5/4/04
393625,9/14/05
413946,4/9/03
324234,4/29/99
418879,11/28/03
475312,4/7/04
176480,1/9/02
284967,10/15/03
151577,10/16/05
337571,12/15/05
144799,3/8/99
232656,3/21/02
310997,6/21/02
388380,6/19/99
162606,1/3/03
190028,6/18/04
446526,8/24/05
427544,2/27/02
125142,4/1/99
325103,11/19/03
322372,10/27/99
397437,12/8/03
125669,11/12/99
140646,8/22/04
422443,4/28/02
280690,7/16/03
441355,6/30/00
185136,6/16/01
317718,9/13/00
344492,2/12/00
426230,6/17/99
198702,1/30/00
205447,9/26/04
260974,4/25/02
134035,6/13/02
483883,1/5/03
163725,6/18/05
277390,3/25/04
287127,9/19/05
127441,7/24/05
137781,12/26/02
153471,1/2/01
389887,4/26/01
482472,5/14/02
386098,7/24/99
253746,3/26/02
443075,4/29/00
267273,1/28/02
195761,8/5/01
319312,12/16/01
310471,6/27/00
291480,3/26/99
287640,7/17/04
466859,11/29/04
187328,3/23/02
478327,2/3/01
168750,6/5/02
106321,5/17/04
368778,8/26/00
458352,4/12/03
126331,3/13/99
184998,2/19/00
361313,1/1/02
374578,6/22/03
124063,1/12/99
168221,7/10/99
358833,4/8/99
439983,10/9/99
316631,12/1/01
272349,8/20/00
464733,11/15/02
477433,11/6/99
281220,11/27/05
431478,1/12/02
318970,6/19/05
183885,10/5/05
202511,10/2/02
394697,1/17/03
153005,6/6/01
431958,11/7/99
341137,1/10/02
200878,10/3/05
392491,12/30/05
169462,1/15/99
344062,2/12/04
271284,9/26/04
342422,5/5/01
210886,8/19/00
473937,5/3/00
173816,4/3/04
411273,1/22/03
240527,4/25/00
281133,8/8/01
268024,5/17/00
382717,1/1/02
373700,5/17/02
318867,8/13/01
488481,7/29/03
360491,11/26/00
281230,10/31/05
287379,7/19/02
256133,7/10/03
338980,9/17/00
420111,2/16/05
464658,7/28/04
367807,1/27/00
487065,10/5/00
470981,5/25/01
239464,10/14/02
196431,2/21/03
145913,3/9/99
323550,10/23/02
199470,10/26/05
414855,9/25/05
344847,7/27/02
293860,2/24/00
397811,10/20/99
456806,10/29/01
326907,2/8/04
322613,4/24/03
327831,5/22/99
120845,12/30/00
168923,2/9/03
287988,7/3/00
158257,10/20/03
389473,11/21/00
326329,11/11/01
319907,2/11/99
414389,9/9/03
139973,2/25/99
384002,9/9/01
344456,6/12/01
340129,6/26/04
351508,9/23/05
263971,11/26/99
119218,9/28/99
133945,10/25/02
199350,6/24/03
474874,9/16/04
468798,11/16/04
408684,1/17/04
201318,6/1/02
317839,4/23/03
112290,6/1/02
142692,5/29/05
322156,2/12/99
178195,6/22/00
434319,9/12/02
108932,6/20/04
418076,4/8/01
443790,4/8/04
404324,6/6/99
487451,2/13/00
254753,2/8/04
324281,7/27/99
420780,2/8/01
250167,7/17/00
157842,5/2/02
336630,3/5/04
400076,7/15/99
167830,12/30/01
248179,1/28/04
397332,6/23/00
304939,10/10/00
304265,9/3/99
111217,10/16/01
285759,3/28/03
495304,11/28/03
129624,9/26/04
276053,10/23/00
429716,3/21/04
377645,4/12/00
248416,9/14/05
266509,10/29/05
107490,9/2/04
151512,3/3/05
346239,8/5/03
370361,11/25/01
233429,3/8/99
101946,6/15/04
273723,5/31/00
290193,9/28/05
346337,8/30/99
323237,6/9/04
129126,11/16/02
100974,6/30/03
227949,3/10/04
263629,4/23/02
351995,4/27/01
358220,9/16/01
468284,8/8/04
136473,6/11/00
177799,10/20/05
370565,8/14/04
190719,12/29/01
309359,8/3/03
165371,7/9/01
124607,11/9/01
142473,2/8/99
192308,3/16/05
266843,5/21/00
190839,7/19/04
101002,10/27/99
403377,10/7/03
316664,1/10/00
225756,1/21/04
137103,3/2/04
161555,5/10/04
489601,7/31/01
400686,8/15/04
385589,4/5/01
182419,10/11/03
458344,8/21/05
174668,2/14/01
100718,5/20/00
180692,2/9/02
340146,11/18/01
450552,11/5/02
110195,11/17/00
390553,6/6/99
423480,4/25/99
360210,10/12/01
334369,2/16/99
128522,1/30/02
413300,8/23/03
422999,1/15/99
363408,6/29/99
343088,12/9/04
216151,2/17/05
219168,4/10/02
315450,5/14/01
380322,10/5/05
418077,9/10/05
395663,8/3/05
416826,10/4/99
374181,6/23/00
276280,8/27/01
389057,2/14/03
310541,9/2/01
449040,10/20/99
136000,2/16/99
173273,12/2/02
181674,2/12/99
107164,1/2/99
313584,6/10/05
367090,4/12/99
171815,10/23/99
265862,2/9/02
302426,11/25/05
131208,5/29/04
222311,10/5/00
429514,8/6/01
193713,10/20/02
454480,6/14/02
238266,7/8/02
110808,6/20/02
185820,7/3/05
151020,2/12/05
172378,10/21/04
157598,9/12/05
288887,10/3/01
191420,12/28/01
306745,10/5/05
457983,12/8/05
395558,10/14/02
160320,10/4/04
260573,7/12/02
485625,11/30/99
302391,2/16/01
323711,2/28/00
385205,6/5/01
359043,8/16/99
233752,2/23/04
284295,6/7/00
299063,5/5/00
326788,8/18/99
139256,7/2/99
484424,2/12/00
452245,5/16/03
185544,12/6/04
418951,11/12/03
411277,11/9/05
204515,10/25/05
284540,5/31/03
296139,11/22/00
132865,12/5/02
499530,5/5/99
224713,11/12/01
201988,7/31/02
189699,7/6/99
176208,6/6/05
215577,4/21/99
389041,7/9/00
118277,2/5/00
363799,10/21/05
467837,1/15/05
184094,8/9/05
250404,11/2/02
111086,2/8/04
268178,12/18/01
213008,4/25/01
315986,6/19/01
249002,6/1/05
162171,12/21/02
324149,3/9/02
104829,7/3/00
241874,12/17/05
457014,9/11/01
268526,8/20/04
244245,9/5/99
319987,7/24/04
384795,10/21/00
401650,1/28/00
192250,6/24/02
373609,2/15/04
386144,6/30/00
486265,2/17/99
147144,8/31/03
446084,11/13/01
198510,4/10/00
182164,9/1/03
187932,11/25/01
117655,1/3/03
257013,8/27/03
454453,12/21/01
293161,3/8/01
428040,6/12/04
438049,3/3/04
236808,3/31/01
183337,2/14/03
295454,11/8/03
222855,6/24/99
458774,3/24/05
138143,3/20/03
332018,9/24/01
480539,11/2/03
165790,5/3/01
208834,5/26/05
491266,4/9/99
493807,8/12/02
356552,10/2/05
269055,5/4/00
116265,12/7/01
297182,2/6/04
355593,12/15/01
162819,2/22/02
200699,11/12/01
363288,4/26/02
112485,2/7/02
449622,5/29/01
334424,4/19/02
273287,9/18/04
334908,5/28/01
151265,7/28/99
240035,7/2/04
466617,10/29/05
375654,9/22/00
267074,4/23/01
358031,8/30/05
164571,7/31/00
294674,8/2/02
195140,7/9/03
357341,11/26/03
407522,6/22/04
186510,2/27/99
397141,4/12/02
330572,1/21/05
396358,10/21/03
118788,11/1/04
492107,5/26/99
309564,7/19/01
394124,10/31/05
344857,11/5/03
349471,3/2/99
219384,4/18/99
199316,11/16/00
145460,3/17/01
189322,8/26/02
378934,7/15/99
455866,3/26/01
169678,1/9/05
134664,6/10/02
353794,4/15/03
103295,4/14/05
141374,10/11/01
258398,9/21/05
367718,5/8/01
157600,9/26/03
120485,5/14/02
155761,5/10/01
487548,10/30/04
125607,12/21/99
284878,7/30/99
471677,3/31/01
360387,11/12/99
332544,5/8/02
170762,6/10/99
352455,12/26/02
120597,12/26/00
278396,12/1/99
244856,3/5/00
241212,4/15/04
171566,4/1/03
373709,12/3/99
488459,6/17/03
488811,12/17/00
227098,3/23/00
210292,1/22/05
454569,3/16/99
498426,12/2/00
281525,11/12/03
140680,5/2/05
211705,8/13/03
397312,6/29/00
241066,12/25/04
289673,11/12/05
364043,12/28/05
425890,3/23/99
281840,1/26/02
246083,6/14/99
301774,7/22/03
267960,3/17/05
420664,11/29/03
185717,10/24/03
487134,12/16/01
302132,12/14/00
292767,11/27/03
475280,6/12/03
157604,11/14/05
306186,6/24/99
488700,4/23/03
416122,6/20/02
269334,9/18/03
109361,7/26/99
159861,4/13/02
499869,7/18/05
449422,5/9/04
349382,10/26/04
194285,6/16/05
145489,9/12/01
406663,6/14/02
404574,1/25/01
169590,5/22/04
485526,4/29/03
289952,10/2/02
482179,3/5/99
246892,7/13/02
322647,3/16/01
476833,3/6/00
393818,8/14/03
145493,12/10/00
390560,9/26/01
487171,5/12/99
370478,7/5/00
333260,5/15/05
448364,5/7/05
400574,7/10/99
409379,3/29/01
179137,6/21/99
378578,11/2/04
283477,8/26/05
387749,2/21/01
234980,10/7/02
432989,6/1/04
222929,4/13/99
111435,2/17/04
462521,6/2/05
107185,8/11/99
246828,4/20/04
216662,12/12/02
350743,7/9/01
138563,11/2/05
290257,3/17/02
295899,7/12/99
479480,6/6/04
361069,10/13/05
325279,1/22/00
252782,5/1/03
259903,3/12/05
270717,8/18/05
495323,6/4/00
179185,2/22/05
186753,9/17/01
295463,4/19/99
159206,8/31/03
334660,2/9/03
353614,6/16/05
368373,6/19/00
118368,8/11/01
240025,4/4/03
439876,1/21/04
351204,5/5/05
166034,2/18/02
308994,2/19/04
157950,5/20/99
389032,9/12/02
137765,5/1/04
324549,9/20/05
223229,6/20/02
149706,8/26/99
417747,10/15/05
340529,12/29/03
199736,11/15/02
195530,7/6/01
289368,8/5/99
323217,10/13/02
466841,5/14/03
431802,6/24/04
203734,7/4/05
370075,4/20/02
140028,11/18/04
302172,3/17/05
369413,10/15/01
439827,5/18/00
194497,10/12/05
365376,1/11/02
207883,12/30/02
376663,5/20/05
192969,2/20/99
441681,10/26/99
328553,12/2/01
169624,8/23/02
255547,12/21/04
323763,5/5/04
207850,8/17/05
105783,6/26/02
447782,1/24/01
390081,5/10/04
157476,12/31/01
458395,5/31/05
169196,11/23/03
423768,1/30/02
424861,5/27/03
276278,4/9/02
121449,5/4/05
338385,3/16/01
398404,11/4/02
177690,3/5/04
484662,4/21/05
335057,3/10/03
491771,12/12/01
326071,5/21/00
350968,8/13/05
114823,7/27/01
234465,7/19/03
211783,2/13/03
233410,11/1/00
174878,1/23/01
275493,11/25/99
403150,2/7/04
112539,4/18/03
192582,7/16/02
101159,7/1/00
116745,9/20/02
434757,3/18/02
310065,6/6/03
270000,3/21/03
241964,6/14/03
483686,5/31/02
354759,10/5/00
302200,5/25/02
302654,10/28/04
283662,3/23/04
168026,10/26/04
129064,8/13/05
329582,1/15/00
204583,7/15/05
313409,12/26/99
495928,4/12/03
450693,2/12/04
227535,3/31/01
294588,2/24/02
374509,11/15/02
204738,4/27/05
134689,4/28/01
133281,7/6/03
253208,12/11/01
429243,10/26/03
344437,7/7/02
174454,3/19/00
364396,8/12/05
320546,3/27/02
322862,7/6/01
125628,2/27/02
278266,6/18/00
249660,10/6/03
326701,2/23/02
106079,3/1/99
427137,10/15/03
311375,3/31/05
243402,2/11/02
121956,10/20/04
181383,1/27/01
373998,10/21/01
272949,3/13/01
304402,12/13/02
471309,4/7/03
441989,3/19/03
252509,7/31/99
395780,9/2/05
419000,7/23/04
292960,10/21/00
441002,4/26/00
470029,9/19/01
355796,3/30/00
149136,12/3/99
147600,3/22/04
212793,4/11/99
336301,1/10/03
494945,4/18/03
210232,5/24/03
336563,12/1/99
118856,7/3/05
444084,3/9/01
473609,8/19/03
198864,12/15/01
450616,2/26/99
355150,3/27/03
288642,7/22/02
285958,11/28/00
160850,11/1/01
194140,4/25/04
334662,3/1/00
416987,2/2/03
203357,4/9/03
123773,7/30/04
210411,8/6/01
413445,6/7/05
348642,10/7/01
277947,1/16/00
308870,1/14/03
169906,10/31/00
294896,6/10/01
122361,5/2/04
401006,7/26/00
399396,12/19/03
363761,1/11/05
154659,1/17/99
356989,4/30/99
437593,5/2/03
400310,9/10/02
457607,12/1/02
154765,7/28/04
130019,2/4/00
245480,6/24/03
111422,1/25/99
446133,4/25/04
148151,3/29/03
160856,8/7/05
153845,11/25/01
363275,3/18/03
180952,3/4/01
121685,12/14/04
266276,3/19/01
332389,11/8/00
145148,6/13/03
363004,12/1/01
384454,3/7/99
330582,7/25/99
432026,10/6/04
496482,11/9/05
330008,1/26/05
470412,8/19/02
417032,5/6/00
421192,6/26/02
415058,3/24/00
135798,3/26/01
169476,8/17/02
299030,2/19/03
101576,6/5/03
137178,10/1/02
326975,10/2/02
293465,1/31/03
225623,5/24/04
184805,12/30/05
350825,9/25/05
319613,1/18/05
371681,11/29/01
425677,8/25/04
348229,5/13/00
182689,1/25/01
492925,3/15/01
388948,8/30/00
283046,10/3/04
210996,7/19/01
446328,5/18/04
188656,1/14/04
107033,11/21/05
440507,5/30/00
454919,10/24/02
220985,10/25/01
126276,8/1/00
218462,8/16/99
405629,3/20/99
446381,7/31/03
225300,11/27/01
373281,8/20/02
362007,5/17/99
442294,7/1/02
260282,11/5/99
213306,7/8/01
380084,8/31/04
362079,4/26/99
493786,1/7/01
223996,10/3/02
216576,11/23/02
481443,9/22/04
302734,2/25/05
394332,11/12/03
487192,4/12/01
438457,2/8/99
390097,2/7/00
367979,9/11/99
383982,12/4/04
416744,2/10/99
119980,4/24/05
393167,5/20/03
454393,7/23/99
215756,9/27/04
140635,8/9/00
106670,9/20/00
464758,6/8/02
275574,2/10/04
363580,1/29/03
155330,10/24/01
295408,8/29/03
223259,1/9/05
378139,4/23/01
362578,5/14/01
331260,11/3/00
173024,12/3/04
350339,1/13/01
215879,4/12/00
442677,4/14/04
475139,6/11/04
144970,8/21/04
279961,3/8/99
142228,1/22/05
474673,6/30/04
440532,10/19/00
186947,10/21/03
138232,9/16/03
321953,5/4/01
477450,12/7/05
253766,1/8/01
168871,5/10/00
426992,9/10/03
209338,8/16/03
245329,10/9/02
152013,1/19/01
441890,6/29/99
236784,5/31/05
376600,9/4/99
485254,12/26/05
376626,5/22/04
328424,12/5/00
318928,9/16/02
122002,3/26/00
483887,6/23/02
189254,10/13/00
455032,8/2/99
475991,5/24/99
329219,1/7/03
446942,11/14/03
412131,3/28/99
300103,10/29/03
213234,5/24/04
223765,4/22/02
388564,9/6/03
331988,6/17/04
199212,1/11/04
195224,4/30/02
157785,12/27/05
234290,8/13/01
200897,2/3/04
492413,8/1/99
157892,6/29/02
330020,12/12/02
418893,9/7/99
162883,10/5/03
119702,5/17/01
132532,8/6/05
138895,8/18/02
453851,9/16/04
321514,1/13/99
126578,5/14/05
317179,9/4/05
161348,2/12/02
482318,3/10/04
476949,10/28/05
343713,3/18/99
356443,6/29/04
107162,2/25/99
335393,6/28/03
358100,4/27/00
317952,10/22/99
282048,1/5/00
242169,11/26/03
272713,12/4/04
460578,10/5/02
341907,8/1/05
269145,7/17/05
415358,8/28/03
213982,2/15/99
242566,1/6/99
361843,5/26/03
216341,10/28/99
336589,9/29/04
165250,5/3/03
209205,9/24/99
494822,5/8/01
483195,4/12/04
200005,9/7/00
348934,9/10/02
115515,12/4/00
422847,2/6/05
209016,4/18/99
292485,11/10/99
212091,8/3/02
203808,8/17/99
300077,8/4/01
114114,6/24/00
298290,1/26/99
159333,1/16/00
219256,6/9/05
265616,8/24/03
171534,2/28/00
231453,9/1/01
103863,6/22/04
489558,2/12/02
277494,10/29/02
421835,1/11/05
484238,1/14/05
259466,2/3/02
230989,8/24/02
299544,3/26/05
353202,8/13/99
159165,9/12/01
207823,5/10/00
222896,1/2/03
195687,12/13/01
150500,10/12/02
177515,11/26/00
497433,2/5/04
184932,4/19/01
443334,9/17/04
332439,8/3/05
190574,8/30/04
261354,5/8/05
293549,1/16/04
202615,2/19/04
