Product,Seller_ID,Item_Category,Subcategory_1,Subcategory_2,General_Rating,Listing_Date,Purchase_Date
P-649,B-133,automotive,accessories spare parts,car interior exterior,2.4,1/12/15,8/7/21
P-600,B-133,automotive,accessories spare parts,car interior exterior,2.8,1/12/15,12/25/21
P-954,B-133,automotive,accessories spare parts,car interior exterior,4.7,1/12/15,9/28/21
P-857,B-133,automotive,accessories spare parts,car interior exterior,1.7,1/12/15,7/8/21
P-962,B-133,automotive,accessories spare parts,car interior exterior,3.1,1/12/15,5/23/21
P-706,B-133,automotive,accessories spare parts,car interior exterior,2.7,1/12/15,9/28/21
P-226,B-64,automotive,accessories spare parts,car interior exterior,4.3,1/12/15,11/24/21
P-938,B-133,automotive,accessories spare parts,car interior exterior,2.3,1/12/15,4/18/21
P-792,B-133,automotive,accessories spare parts,car interior exterior,2.9,1/12/15,10/30/21
P-826,B-133,automotive,accessories spare parts,car interior exterior,1.5,1/12/15,4/12/21
P-669,B-133,automotive,accessories spare parts,car interior exterior,4.1,1/12/15,12/20/21
P-1009,B-133,automotive,accessories spare parts,car interior exterior,4.8,1/12/15,3/5/21
P-833,B-133,automotive,accessories spare parts,car interior exterior,5,1/12/15,12/16/21
P-1749,B-372,automotive,car bike accessories,car bike lighting,3.8,2/6/15,7/31/21
P-10403,B-2741,automotive,accessories spare parts,car bike lighting,2.3,3/3/15,2/13/21
P-1484,B-269,automotive,accessories spare parts,car interior exterior,1.6,7/1/15,9/28/21
P-4607,B-1222,automotive,car bike accessories,car interior exterior,2.2,9/6/15,12/30/21
P-10365,B-2741,automotive,accessories spare parts,spares performance parts,3.7,12/3/15,5/22/21
P-11,B-1,automotive,accessories spare parts,car interior exterior,3,1/12/16,11/22/21
P-647,B-133,automotive,accessories spare parts,car interior exterior,2.6,1/12/16,9/4/21
P-864,B-133,automotive,accessories spare parts,car interior exterior,3.1,1/12/16,3/27/21
P-27,B-1,automotive,accessories spare parts,car interior exterior,2.6,1/12/16,10/20/21
P-47,B-1,automotive,accessories spare parts,car interior exterior,2.8,1/12/16,8/19/21
P-867,B-133,automotive,accessories spare parts,car interior exterior,1.9,1/12/16,9/23/21
P-901,B-133,automotive,accessories spare parts,car interior exterior,1.9,1/12/16,5/5/21
P-623,B-133,automotive,accessories spare parts,car interior exterior,1.1,1/12/16,9/17/21
P-813,B-133,automotive,accessories spare parts,car interior exterior,4.3,1/12/16,
P-810,B-133,automotive,accessories spare parts,car interior exterior,3.8,1/12/16,9/11/21
P-863,B-133,automotive,accessories spare parts,car interior exterior,4.1,1/12/16,4/11/21
P-1755,B-372,automotive,car bike accessories,car bike lighting,3.9,2/6/16,6/8/21
P-7769,B-2066,automotive,accessories spare parts,spares performance parts,2,3/3/16,10/7/21
P-10362,B-2741,automotive,accessories spare parts,car bike lighting,1.6,5/4/16,5/7/21
P-11252,B-2976,automotive,accessories spare parts,car bike care,4,6/5/16,11/20/21
P-1745,B-372,automotive,accessories spare parts,spares performance parts,1.8,10/4/16,11/18/21
P-10370,B-2741,automotive,accessories spare parts,spares performance parts,4.1,12/3/16,7/1/21
P-1004,B-133,automotive,accessories spare parts,car interior exterior,4.2,1/12/17,8/23/21
P-713,B-133,automotive,accessories spare parts,car interior exterior,2.9,1/12/17,9/19/21
P-894,B-133,automotive,accessories spare parts,car interior exterior,1.3,1/12/17,9/6/21
P-607,B-133,automotive,accessories spare parts,car interior exterior,4.7,1/12/17,1/20/21
P-785,B-133,automotive,accessories spare parts,car interior exterior,3.2,1/12/17,5/24/21
P-615,B-133,automotive,accessories spare parts,car interior exterior,3.9,1/12/17,10/11/21
P-983,B-133,automotive,accessories spare parts,car interior exterior,2.8,1/12/17,7/23/21
P-968,B-133,automotive,accessories spare parts,car interior exterior,4.4,1/12/17,7/27/21
P-7415,B-1991,automotive,accessories spare parts,car electronics accessories,2.9,1/12/17,1/27/21
P-678,B-133,automotive,accessories spare parts,car interior exterior,1,1/12/17,5/15/21
P-829,B-133,automotive,accessories spare parts,car interior exterior,2,1/12/17,3/25/21
P-10454,B-2741,automotive,accessories spare parts,spares performance parts,1.6,3/3/17,8/13/21
P-4621,B-1222,automotive,accessories spare parts,car bike lighting,1.7,12/4/17,12/30/21
P-744,B-133,automotive,accessories spare parts,car interior exterior,1.3,1/12/18,7/28/21
P-775,B-133,automotive,accessories spare parts,car interior exterior,3.1,1/12/18,12/29/21
P-895,B-133,automotive,accessories spare parts,car interior exterior,4.7,1/12/18,12/9/21
P-576,B-133,automotive,accessories spare parts,car interior exterior,3,1/12/18,4/15/21
P-728,B-133,automotive,accessories spare parts,car interior exterior,3.2,1/12/18,7/20/21
P-992,B-133,automotive,accessories spare parts,car interior exterior,4.5,1/12/18,
P-9253,B-2389,automotive,accessories spare parts,automotive combo,2.4,1/12/18,7/13/21
P-32,B-1,automotive,accessories spare parts,car interior exterior,2.6,1/12/18,8/8/21
P-943,B-133,automotive,accessories spare parts,car interior exterior,3.9,1/12/18,11/27/21
P-637,B-133,automotive,accessories spare parts,car interior exterior,1.5,1/12/18,3/7/21
P-780,B-133,automotive,accessories spare parts,car interior exterior,1,1/12/18,5/5/21
P-3824,B-983,automotive,accessories spare parts,car electronics accessories,3.6,1/12/18,8/13/21
P-35,B-1,automotive,accessories spare parts,car interior exterior,3.6,1/12/18,5/14/21
P-360,B-88,automotive,accessories spare parts,car interior exterior,2.3,10/5/18,6/30/21
P-5086,B-1347,automotive,accessories spare parts,car interior exterior,2.3,10/5/18,7/30/21
P-3691,B-945,automotive,accessories spare parts,car bike lighting,4.4,11/3/18,1/17/21
P-10390,B-2741,automotive,accessories spare parts,spares performance parts,2.8,12/3/18,1/2/21
P-10389,B-2741,automotive,accessories spare parts,spares performance parts,2.9,12/3/18,11/1/21
P-820,B-133,automotive,accessories spare parts,car interior exterior,2.8,1/12/19,6/22/21
P-948,B-133,automotive,accessories spare parts,car interior exterior,2.7,1/12/19,2/17/21
P-748,B-133,automotive,accessories spare parts,car interior exterior,4.9,1/12/19,10/6/21
P-993,B-133,automotive,accessories spare parts,car interior exterior,2.6,1/12/19,1/12/21
P-570,B-133,automotive,accessories spare parts,car interior exterior,4.4,1/12/19,6/15/21
P-585,B-133,automotive,accessories spare parts,car interior exterior,1.3,1/12/19,12/7/21
P-736,B-133,automotive,accessories spare parts,car interior exterior,3.6,1/12/19,12/5/21
P-1053,B-148,automotive,accessories spare parts,car electronics accessories,1.9,1/12/19,11/19/21
P-793,B-133,automotive,accessories spare parts,car interior exterior,1.3,1/12/19,2/4/21
P-920,B-133,automotive,accessories spare parts,car interior exterior,4.3,1/12/19,4/12/21
P-975,B-133,automotive,accessories spare parts,car interior exterior,4.5,1/12/19,1/12/21
P-7767,B-2066,automotive,accessories spare parts,spares performance parts,3.4,3/3/19,12/30/21
P-10379,B-2741,automotive,accessories spare parts,spares performance parts,2.3,12/3/19,7/26/21
P-10451,B-2741,automotive,accessories spare parts,spares performance parts,3.3,3/3/20,4/14/21
P-2576,B-648,automotive,car bike accessories,car bike care,4.6,6/13/17,11/23/21
P-8180,B-2160,automotive,accessories spare parts,car interior exterior,2.7,12/14/15,4/7/21
P-10475,B-2741,automotive,accessories spare parts,car interior exterior,1.7,12/14/16,10/2/21
P-219,B-63,automotive,car bike accessories,car bike lighting,2,6/15/17,6/4/21
P-220,B-63,automotive,car bike accessories,car bike lighting,4.5,6/15/20,8/10/21
P-11723,B-3149,automotive,accessories spare parts,car interior exterior,2.6,4/16/19,9/10/21
P-11733,B-3149,automotive,accessories spare parts,car interior exterior,2.2,4/16/20,3/18/21
P-5937,B-1564,automotive,car bike accessories,car interior exterior,3.8,6/17/14,10/5/21
P-5936,B-1564,automotive,car bike accessories,car interior exterior,4.3,6/17/16,2/10/21
P-1489,B-272,automotive,car bike accessories,bike essentials,4.1,6/17/18,2/10/21
P-10409,B-2741,automotive,accessories spare parts,bike essentials,1.8,3/18/15,
P-5590,B-1485,automotive,accessories spare parts,car electronics accessories,3.7,3/18/15,11/2/21
P-10409,B-2741,automotive,accessories spare parts,bike essentials,1.8,3/18/15,12/6/21
P-10364,B-2741,automotive,accessories spare parts,bike essentials,2.7,3/18/19,9/23/21
P-10401,B-2741,automotive,accessories spare parts,bike essentials,3.6,3/18/19,5/25/21
P-10411,B-2741,automotive,accessories spare parts,bike essentials,3.9,3/18/20,5/2/21
P-6397,B-1664,automotive,car bike accessories,car bike lighting,1.9,6/18/19,6/6/21
P-9444,B-2435,automotive,car bike accessories,car bike styling,3.9,6/20/17,8/2/21
P-10437,B-2741,automotive,accessories spare parts,car interior exterior,1.8,4/21/14,4/12/21
P-10442,B-2741,automotive,accessories spare parts,car interior exterior,4.9,4/21/16,9/9/21
P-10431,B-2741,automotive,accessories spare parts,car interior exterior,1.9,4/21/16,6/3/21
P-10438,B-2741,automotive,accessories spare parts,car interior exterior,3.6,4/21/16,7/10/21
P-10419,B-2741,automotive,accessories spare parts,car interior exterior,1.6,4/21/18,2/12/21
P-10435,B-2741,automotive,accessories spare parts,car interior exterior,4.5,4/21/19,8/15/21
P-10421,B-2741,automotive,accessories spare parts,car interior exterior,4.7,4/21/20,9/5/21
P-6073,B-1596,automotive,car bike accessories,car interior exterior,4.3,6/22/17,
P-9445,B-2435,automotive,car bike accessories,helmets riding gear,1.4,6/23/14,5/3/21
P-10402,B-2741,automotive,accessories spare parts,car bike styling,1.2,2/24/13,1/1/21
P-12283,B-3273,automotive,accessories spare parts,helmets riding gear,2.9,2/24/14,4/6/21
P-218,B-63,automotive,accessories spare parts,helmets riding gear,1.9,2/24/15,1/12/21
P-1476,B-267,automotive,accessories spare parts,car bike lighting,3.9,4/24/14,9/8/21
P-7314,B-1954,automotive,accessories spare parts,helmets riding gear,3.2,4/24/14,7/13/21
P-1477,B-267,automotive,accessories spare parts,car bike lighting,1.9,4/24/14,10/25/21
P-114,B-3207,automotive,accessories spare parts,car bike care,3.1,2/25/16,1/31/21
P-8900,B-2303,automotive,accessories spare parts,car bike care,1.3,2/25/18,9/5/21
P-11671,B-3132,automotive,accessories spare parts,car interior exterior,2,3/25/15,4/24/21
P-10416,B-2741,automotive,accessories spare parts,car bike styling,2.4,3/25/15,7/16/21
P-11675,B-3132,automotive,accessories spare parts,car interior exterior,3.9,3/25/19,1/1/22
P-8054,B-2131,automotive,accessories spare parts,car interior exterior,2.1,4/25/17,11/29/21
P-10481,B-2741,automotive,accessories spare parts,spares performance parts,3.3,12/31/12,5/16/21
P-10468,B-2741,automotive,accessories spare parts,spares performance parts,3.7,12/31/12,6/26/21
P-12284,B-3274,automotive,accessories spare parts,spares performance parts,3.5,12/31/13,4/7/21
P-12288,B-3274,automotive,accessories spare parts,spares performance parts,4.8,12/31/13,5/27/21
P-12286,B-3274,automotive,accessories spare parts,spares performance parts,1.1,12/31/14,8/1/21
P-7112,B-1895,automotive,accessories spare parts,spares performance parts,3.5,12/31/15,4/7/21
P-10469,B-2741,automotive,accessories spare parts,spares performance parts,2.5,12/31/15,
P-10483,B-2741,automotive,accessories spare parts,spares performance parts,3.7,12/31/15,11/1/21
P-1420,B-250,automotive,accessories spare parts,car bike care,1.4,12/31/17,2/22/21
P-12290,B-3274,automotive,accessories spare parts,spares performance parts,1.3,12/31/18,11/5/21
P-10457,B-2741,automotive,accessories spare parts,spares performance parts,2.4,12/31/19,2/3/21
P-11438,B-3049,automotive,accessories spare parts,spares performance parts,4.8,12/31/19,7/13/21
P-1486,B-270,sports fitness,unknown,autoplus m ap15 arm sleeve black,2.6,5/4/14,4/13/21
P-78,B-12,baby care,baby kids gifts,stickers,4.2,1/12/12,10/29/21
P-11453,B-3054,baby care,baby kids gifts,stickers,4.5,1/12/12,2/7/21
P-12046,B-3215,baby care,baby kids gifts,stickers,4,1/12/13,
P-12046,B-3215,baby care,baby kids gifts,stickers,4,1/12/13,8/15/21
P-2304,B-545,baby care,infant wear,baby girls clothes,4.9,7/6/13,11/1/21
P-3938,B-1018,baby care,infant wear,baby boys clothes,1.7,2/4/14,4/30/21
P-2276,B-533,baby care,infant wear,baby boys clothes,3.3,2/4/14,8/7/21
P-3780,B-974,baby care,infant wear,baby girls clothes,5,10/5/14,2/11/21
P-2511,B-615,baby care,infant wear,baby boys clothes,4.5,2/4/15,4/24/21
P-6542,B-3078,baby care,baby grooming,baby grooming combos,2.9,3/1/15,3/22/21
P-12044,B-3215,baby care,baby kids gifts,stickers,4.2,1/12/16,9/19/21
P-11211,B-2959,baby care,infant wear,baby girls clothes,3.6,2/3/17,4/12/21
P-7146,B-1906,baby care,infant wear,baby girls clothes,1.5,3/3/17,11/5/21
P-12214,B-3260,baby care,infant wear,baby girls clothes,4.5,7/6/17,5/20/21
P-9493,B-2453,baby care,baby bedding,baby bedsheets,3.3,10/5/17,9/8/21
P-4380,B-1141,baby care,strollers activity gear,strollers prams,3.1,11/3/17,9/19/21
P-1565,B-304,baby care,baby bedding,baby blankets,3.1,12/12/17,4/28/21
P-12041,B-3215,baby care,baby kids gifts,stickers,1,1/12/18,2/26/21
P-12048,B-3215,baby care,baby kids gifts,stickers,4,1/12/18,1/26/21
P-12043,B-3215,baby care,baby kids gifts,stickers,1.2,1/12/18,9/5/21
P-12045,B-3215,baby care,baby kids gifts,stickers,4.2,1/12/18,11/3/21
P-1564,B-303,baby care,baby bedding,baby blankets,2.1,12/12/18,7/30/21
P-3448,B-894,baby care,feeding nursing,utensils,2.4,12/12/18,8/18/21
P-512,B-123,baby care,furniture furnishings,inflatable products,2,1/1/19,5/7/21
P-12213,B-3260,baby care,infant wear,baby girls clothes,3.8,7/6/19,12/22/21
P-3584,B-922,baby care,baby bedding,baby mosquito nets,2.7,12/12/19,8/28/21
P-3017,B-773,baby care,infant wear,baby boys clothes,4.8,2/3/20,10/3/21
P-2437,B-586,baby care,infant wear,baby girls clothes,3.3,4/6/20,3/1/21
P-6479,B-1695,baby care,infant wear,baby boys clothes,1.1,5/14/13,12/24/21
P-7147,B-1906,baby care,infant wear,baby girls clothes,2.2,4/15/19,12/30/21
P-8447,B-2224,baby care,infant wear,baby girls clothes,1.9,3/16/16,5/2/21
P-2058,B-452,baby care,infant wear,baby girls clothes,1.5,6/16/14,2/3/21
P-5097,B-1349,baby care,furniture furnishings,inflatable products,3.5,12/20/13,3/15/21
P-5098,B-1349,baby care,furniture furnishings,inflatable products,1,12/20/18,11/23/21
P-10897,B-2892,baby care,infant wear,baby boys clothes,4.4,6/21/18,5/28/21
P-3940,B-1018,baby care,infant wear,baby girls clothes,3.3,3/22/14,8/23/21
P-1633,B-331,baby care,infant wear,baby girls clothes,3.4,3/22/17,3/25/21
P-1549,B-294,baby care,infant wear,baby boys clothes,3.9,4/24/14,4/4/21
P-1606,B-322,baby care,diapering potty training,changing tables,4.7,4/25/18,12/3/21
P-10794,B-2856,baby care,baby bedding,baby bedsheets,5,5/26/13,3/22/21
P-1650,B-339,baby care,baby bedding,baby bedsheets,3.3,5/26/15,12/19/21
P-10963,B-2907,baby care,infant wear,baby girls clothes,3.2,2/28/14,10/30/21
P-1491,B-274,baby care,baby bath skin,baby body wash,4,3/28/13,6/2/21
P-6144,B-1622,baby care,baby bath skin,baby body wash,4.4,3/28/16,2/27/21
P-2305,B-546,baby care,infant wear,baby girls clothes,1.8,4/29/14,8/28/21
P-6739,B-1788,baby care,baby bath skin,baby bath towels,4,12/31/12,4/19/21
P-7222,B-3078,baby care,feeding nursing,utensils,1.8,12/31/13,
P-12205,B-3078,baby care,baby kids gifts,photo frames,3.4,12/31/14,3/1/21
P-11024,B-2925,baby care,baby bath skin,baby bath towels,1.2,12/31/17,8/7/21
P-12554,B-3078,bags wallets belts,bags,backpacks,3.3,12/12/12,10/10/21
P-4898,B-3078,bags wallets belts,bags,hand bags,2.9,1/1/13,5/20/21
P-8821,B-2274,bags wallets belts,bags,hand bags,4.7,2/3/13,3/1/21
P-11501,B-3078,bags wallets belts,bags,backpacks,4.1,1/1/14,7/10/21
P-9071,B-2325,bags wallets belts,bags,hand bags,3.8,2/3/14,4/23/21
P-1066,B-155,bags wallets belts,luggage travel,suitcases,2.7,3/3/14,2/10/21
P-9804,B-3078,bags wallets belts,bags,pouches and potlis,4.2,3/12/15,6/16/21
P-9072,B-2325,bags wallets belts,bags,hand bags,1.6,12/6/15,9/30/21
P-3117,B-3078,bags wallets belts,bags,hand bags,3.6,12/12/15,6/8/21
P-3747,B-959,bags wallets belts,bags,backpacks,4.7,1/1/16,5/1/21
P-6281,B-3078,bags wallets belts,luggage travel,rucksacks,4.7,1/1/16,6/23/21
P-4626,B-1225,bags wallets belts,bags,hand bags,4.7,2/3/16,12/27/21
P-4319,B-1118,bags wallets belts,luggage travel,suitcases,3.6,3/3/16,2/13/21
P-11500,B-3078,bags wallets belts,bags,backpacks,3.6,1/1/17,7/10/21
P-2610,B-659,bags wallets belts,bags,hand bags,4.3,2/3/17,4/30/21
P-2610,B-659,bags wallets belts,bags,hand bags,4.3,2/3/17,12/22/21
P-8462,B-2229,bags wallets belts,luggage travel,suitcases,2.1,3/3/17,9/8/21
P-4275,B-3078,bags wallets belts,bags,hand bags,4.7,1/1/18,9/6/21
P-7863,B-3078,bags wallets belts,bags,backpacks,4.1,1/1/18,2/24/21
P-9957,B-2606,bags wallets belts,wallets clutches,clutches,4.5,2/6/18,3/2/21
P-2073,B-459,bags wallets belts,bags,hand bags,4.3,2/24/18,1/16/21
P-1069,B-155,bags wallets belts,luggage travel,suitcases,4.5,3/3/18,11/6/21
P-3315,B-856,bags wallets belts,bags,hand bags,4.9,7/3/18,10/20/21
P-6501,B-1704,bags wallets belts,wallets clutches,clutches,4.8,9/3/18,11/9/21
P-8461,B-2229,bags wallets belts,luggage travel,suitcases,1.1,3/3/19,
P-1154,B-174,bags wallets belts,bags,pouches and potlis,4.1,3/3/19,12/22/21
P-6616,B-1737,bags wallets belts,luggage travel,lowe alpine luggage travel,4,6/23/19,12/26/21
P-11509,B-3078,bags wallets belts,bags,backpacks,4.4,1/1/20,1/18/21
P-11504,B-3078,bags wallets belts,bags,backpacks,2,1/1/20,11/23/21
P-2072,B-458,bags wallets belts,bags,hand bags,4.1,2/3/20,12/17/21
P-3172,B-818,bags wallets belts,bags,hand bags,2.2,3/6/20,
P-11444,B-3051,bags wallets belts,wallets clutches,travel document holders card holders,4.6,6/14/15,10/29/21
P-11446,B-3051,bags wallets belts,wallets clutches,travel document holders card holders,4.8,6/14/17,6/9/21
P-7163,B-1912,bags wallets belts,bags,sling bags,2.2,6/20/18,6/2/21
P-11748,B-3158,bags wallets belts,bags,hand bags,4.3,2/24/19,11/6/21
P-6408,B-1666,bags wallets belts,bags,backpacks,4,5/24/13,7/9/21
P-12090,B-3223,bags wallets belts,bags,backpacks,3.3,5/24/16,10/1/21
P-11022,B-2924,bags wallets belts,bags,backpacks,2.3,5/24/20,1/6/21
P-6468,B-1685,bags wallets belts,bags,sling bags,4.7,4/30/15,12/28/21
P-2327,B-3078,beauty and personal care,fragrances,deodorants,1,1/12/12,10/19/21
P-12315,B-3078,beauty and personal care,fragrances,deodorants,1.4,1/12/12,1/29/21
P-3250,B-3078,beauty and personal care,fragrances,deodorants,1.1,1/12/12,7/31/21
P-2755,B-3078,beauty and personal care,fragrances,deodorants,3.2,1/12/12,11/12/21
P-11636,B-3078,beauty and personal care,fragrances,deodorants,1.1,1/12/12,5/7/21
P-1517,B-3078,beauty and personal care,fragrances,deodorants,2,1/12/12,7/28/21
P-2328,B-3078,beauty and personal care,fragrances,deodorants,1,1/12/12,8/27/21
P-8015,B-3078,beauty and personal care,combos and kits,oxyglow combos and kits,3.4,12/12/12,6/4/21
P-3212,B-3078,beauty and personal care,makeup,lips,4.5,1/1/13,1/15/21
P-1685,B-3078,beauty and personal care,fragrances,deodorants,4.5,1/12/13,7/26/21
P-417,B-3078,beauty and personal care,fragrances,deodorants,2.9,1/12/13,5/31/21
P-2766,B-3078,beauty and personal care,fragrances,deodorants,1.8,1/12/13,7/12/21
P-8146,B-3078,beauty and personal care,fragrances,deodorants,3.3,1/12/13,6/22/21
P-1242,B-3078,beauty and personal care,body and skin care,hand care,2,1/12/13,11/22/21
P-1168,B-3078,beauty and personal care,fragrances,deodorants,3,1/12/13,11/28/21
P-5496,B-3078,beauty and personal care,fragrances,deodorants,1.5,1/12/13,10/31/21
P-3348,B-3078,beauty and personal care,body and skin care,hand care,3,1/12/13,
P-9518,B-2462,beauty and personal care,combos and kits,rythmx combos and kits,2.9,2/6/13,2/2/21
P-9264,B-2390,beauty and personal care,makeup,face,1.3,3/3/13,5/18/21
P-1360,B-3078,beauty and personal care,makeup,vanity boxes,2.6,4/1/13,6/9/21
P-8004,B-3078,beauty and personal care,combos and kits,oxyglow combos and kits,3.6,12/12/13,5/21/21
P-12139,B-3078,beauty and personal care,fragrances,deodorants,4.3,1/12/14,12/18/21
P-7528,B-3078,beauty and personal care,fragrances,deodorants,1.4,1/12/14,7/30/21
P-1295,B-3078,beauty and personal care,fragrances,deodorants,1.6,1/12/14,9/6/21
P-8135,B-3078,beauty and personal care,fragrances,deodorants,1.8,1/12/14,11/7/21
P-473,B-3078,beauty and personal care,fragrances,deodorants,3.5,1/12/14,2/17/21
P-7513,B-3078,beauty and personal care,fragrances,deodorants,1.3,1/12/14,3/31/21
P-8443,B-3078,beauty and personal care,fragrances,deodorants,3.9,1/12/14,9/6/21
P-2062,B-3078,beauty and personal care,makeup,vanity boxes,3,3/1/14,10/19/21
P-4340,B-3078,beauty and personal care,makeup,vanity boxes,3,4/1/14,10/15/21
P-4452,B-3078,beauty and personal care,eye care,h2o plus eye care,4,12/12/14,7/21/21
P-8021,B-3078,beauty and personal care,combos and kits,oxyglow combos and kits,2,12/12/14,9/28/21
P-8454,B-3078,beauty and personal care,eye care,h2o plus eye care,4,12/12/14,7/23/21
P-7520,B-3078,beauty and personal care,fragrances,deodorants,1.3,1/12/15,5/3/21
P-12312,B-3078,beauty and personal care,fragrances,deodorants,3.8,1/12/15,
P-2982,B-3078,beauty and personal care,body and skin care,hand care,2,1/12/15,1/28/21
P-9263,B-3078,beauty and personal care,fragrances,deodorants,2.8,1/12/15,12/29/21
P-8141,B-3078,beauty and personal care,fragrances,deodorants,2.4,1/12/15,11/26/21
